step:259/1190 train_time:10970ms step_avg:42.35ms
step:260/1190 train_time:11017ms step_avg:42.37ms
step:261/1190 train_time:11051ms step_avg:42.34ms
step:262/1190 train_time:11097ms step_avg:42.35ms
step:263/1190 train_time:11133ms step_avg:42.33ms
step:264/1190 train_time:11178ms step_avg:42.34ms
step:265/1190 train_time:11214ms step_avg:42.32ms
step:266/1190 train_time:11260ms step_avg:42.33ms
step:267/1190 train_time:11295ms step_avg:42.31ms
step:268/1190 train_time:11341ms step_avg:42.32ms
step:269/1190 train_time:11376ms step_avg:42.29ms
step:270/1190 train_time:11423ms step_avg:42.31ms
step:271/1190 train_time:11458ms step_avg:42.28ms
step:272/1190 train_time:11504ms step_avg:42.29ms
step:273/1190 train_time:11540ms step_avg:42.27ms
step:274/1190 train_time:11585ms step_avg:42.28ms
step:275/1190 train_time:11622ms step_avg:42.26ms
step:276/1190 train_time:11667ms step_avg:42.27ms
step:277/1190 train_time:11703ms step_avg:42.25ms
step:278/1190 train_time:11749ms step_avg:42.26ms
step:279/1190 train_time:11784ms step_avg:42.24ms
step:280/1190 train_time:11830ms step_avg:42.25ms
step:281/1190 train_time:11866ms step_avg:42.23ms
step:282/1190 train_time:11911ms step_avg:42.24ms
step:283/1190 train_time:11947ms step_avg:42.22ms
step:284/1190 train_time:11994ms step_avg:42.23ms
step:285/1190 train_time:12044ms step_avg:42.26ms
step:286/1190 train_time:12102ms step_avg:42.31ms
step:287/1190 train_time:12148ms step_avg:42.33ms
step:288/1190 train_time:12206ms step_avg:42.38ms
step:289/1190 train_time:12253ms step_avg:42.40ms
step:290/1190 train_time:12311ms step_avg:42.45ms
step:291/1190 train_time:12359ms step_avg:42.47ms
step:292/1190 train_time:12417ms step_avg:42.52ms
step:293/1190 train_time:12463ms step_avg:42.54ms
step:294/1190 train_time:12521ms step_avg:42.59ms
step:295/1190 train_time:12569ms step_avg:42.61ms
step:296/1190 train_time:12627ms step_avg:42.66ms
step:297/1190 train_time:12675ms step_avg:42.68ms
step:298/1190 train_time:12733ms step_avg:42.73ms
step:299/1190 train_time:12780ms step_avg:42.74ms
step:300/1190 train_time:12837ms step_avg:42.79ms
step:301/1190 train_time:12884ms step_avg:42.81ms
step:302/1190 train_time:12942ms step_avg:42.85ms
step:303/1190 train_time:12989ms step_avg:42.87ms
step:304/1190 train_time:13046ms step_avg:42.92ms
step:305/1190 train_time:13094ms step_avg:42.93ms
step:306/1190 train_time:13151ms step_avg:42.98ms
step:307/1190 train_time:13199ms step_avg:42.99ms
step:308/1190 train_time:13256ms step_avg:43.04ms
step:309/1190 train_time:13303ms step_avg:43.05ms
