step:146/1190 train_time:6164ms step_avg:42.22ms
step:147/1190 train_time:6200ms step_avg:42.18ms
step:148/1190 train_time:6247ms step_avg:42.21ms
step:149/1190 train_time:6282ms step_avg:42.16ms
step:150/1190 train_time:6328ms step_avg:42.19ms
step:151/1190 train_time:6363ms step_avg:42.14ms
step:152/1190 train_time:6409ms step_avg:42.17ms
step:153/1190 train_time:6445ms step_avg:42.12ms
step:154/1190 train_time:6493ms step_avg:42.17ms
step:155/1190 train_time:6527ms step_avg:42.11ms
step:156/1190 train_time:6573ms step_avg:42.13ms
step:157/1190 train_time:6607ms step_avg:42.09ms
step:158/1190 train_time:6655ms step_avg:42.12ms
step:159/1190 train_time:6689ms step_avg:42.07ms
step:160/1190 train_time:6736ms step_avg:42.10ms
step:161/1190 train_time:6770ms step_avg:42.05ms
step:162/1190 train_time:6817ms step_avg:42.08ms
step:163/1190 train_time:6852ms step_avg:42.04ms
step:164/1190 train_time:6898ms step_avg:42.06ms
step:165/1190 train_time:6934ms step_avg:42.03ms
step:166/1190 train_time:6980ms step_avg:42.05ms
step:167/1190 train_time:7015ms step_avg:42.01ms
step:168/1190 train_time:7061ms step_avg:42.03ms
step:169/1190 train_time:7097ms step_avg:41.99ms
step:170/1190 train_time:7143ms step_avg:42.02ms
step:171/1190 train_time:7179ms step_avg:41.98ms
step:172/1190 train_time:7224ms step_avg:42.00ms
step:173/1190 train_time:7260ms step_avg:41.96ms
step:174/1190 train_time:7306ms step_avg:41.99ms
step:175/1190 train_time:7342ms step_avg:41.95ms
step:176/1190 train_time:7387ms step_avg:41.97ms
step:177/1190 train_time:7423ms step_avg:41.94ms
step:178/1190 train_time:7469ms step_avg:41.96ms
step:179/1190 train_time:7504ms step_avg:41.92ms
step:180/1190 train_time:7551ms step_avg:41.95ms
step:181/1190 train_time:7586ms step_avg:41.91ms
step:182/1190 train_time:7631ms step_avg:41.93ms
step:183/1190 train_time:7668ms step_avg:41.90ms
step:184/1190 train_time:7713ms step_avg:41.92ms
step:185/1190 train_time:7749ms step_avg:41.89ms
step:186/1190 train_time:7795ms step_avg:41.91ms
step:187/1190 train_time:7830ms step_avg:41.87ms
step:188/1190 train_time:7876ms step_avg:41.89ms
step:189/1190 train_time:7912ms step_avg:41.86ms
step:190/1190 train_time:7958ms step_avg:41.88ms
step:191/1190 train_time:7994ms step_avg:41.85ms
step:192/1190 train_time:8040ms step_avg:41.88ms
step:193/1190 train_time:8075ms step_avg:41.84ms
step:194/1190 train_time:8122ms step_avg:41.86ms
step:195/1190 train_time:8157ms step_avg:41.83ms
step:196/1190 train_time:8203ms step_avg:41.85ms
step:197/1190 train_time:8239ms step_avg:41.82ms
step:198/1190 train_time:8284ms step_avg:41.84ms
step:199/1190 train_time:8319ms step_avg:41.81ms
step:200/1190 train_time:8366ms step_avg:41.83ms
step:201/1190 train_time:8401ms step_avg:41.80ms
step:202/1190 train_time:8447ms step_avg:41.82ms
step:203/1190 train_time:8482ms step_avg:41.78ms
step:204/1190 train_time:8529ms step_avg:41.81ms
step:205/1190 train_time:8564ms step_avg:41.78ms
step:206/1190 train_time:8610ms step_avg:41.80ms
step:207/1190 train_time:8646ms step_avg:41.77ms
step:208/1190 train_time:8691ms step_avg:41.78ms
step:209/1190 train_time:8727ms step_avg:41.75ms
step:210/1190 train_time:8773ms step_avg:41.78ms
step:211/1190 train_time:8809ms step_avg:41.75ms
step:212/1190 train_time:8854ms step_avg:41.76ms
step:213/1190 train_time:8890ms step_avg:41.74ms
step:214/1190 train_time:8935ms step_avg:41.75ms
step:215/1190 train_time:8972ms step_avg:41.73ms
step:216/1190 train_time:9018ms step_avg:41.75ms
step:217/1190 train_time:9053ms step_avg:41.72ms
step:218/1190 train_time:9098ms step_avg:41.73ms
step:219/1190 train_time:9135ms step_avg:41.71ms
step:220/1190 train_time:9181ms step_avg:41.73ms
step:221/1190 train_time:9216ms step_avg:41.70ms
