step:196/1190 train_time:8297ms step_avg:42.33ms
step:197/1190 train_time:8331ms step_avg:42.29ms
step:198/1190 train_time:8378ms step_avg:42.31ms
step:199/1190 train_time:8413ms step_avg:42.28ms
step:200/1190 train_time:8459ms step_avg:42.30ms
step:201/1190 train_time:8495ms step_avg:42.26ms
step:202/1190 train_time:8540ms step_avg:42.28ms
step:203/1190 train_time:8576ms step_avg:42.25ms
step:204/1190 train_time:8622ms step_avg:42.27ms
step:205/1190 train_time:8658ms step_avg:42.23ms
step:206/1190 train_time:8703ms step_avg:42.25ms
step:207/1190 train_time:8739ms step_avg:42.22ms
step:208/1190 train_time:8786ms step_avg:42.24ms
step:209/1190 train_time:8821ms step_avg:42.21ms
step:210/1190 train_time:8866ms step_avg:42.22ms
step:211/1190 train_time:8902ms step_avg:42.19ms
step:212/1190 train_time:8948ms step_avg:42.21ms
step:213/1190 train_time:8984ms step_avg:42.18ms
step:214/1190 train_time:9031ms step_avg:42.20ms
step:215/1190 train_time:9066ms step_avg:42.17ms
step:216/1190 train_time:9112ms step_avg:42.19ms
step:217/1190 train_time:9147ms step_avg:42.15ms
step:218/1190 train_time:9194ms step_avg:42.17ms
step:219/1190 train_time:9229ms step_avg:42.14ms
step:220/1190 train_time:9275ms step_avg:42.16ms
step:221/1190 train_time:9310ms step_avg:42.12ms
step:222/1190 train_time:9355ms step_avg:42.14ms
step:223/1190 train_time:9392ms step_avg:42.12ms
step:224/1190 train_time:9437ms step_avg:42.13ms
step:225/1190 train_time:9473ms step_avg:42.10ms
step:226/1190 train_time:9519ms step_avg:42.12ms
step:227/1190 train_time:9555ms step_avg:42.09ms
step:228/1190 train_time:9601ms step_avg:42.11ms
step:229/1190 train_time:9636ms step_avg:42.08ms
step:230/1190 train_time:9682ms step_avg:42.10ms
step:231/1190 train_time:9719ms step_avg:42.07ms
step:232/1190 train_time:9765ms step_avg:42.09ms
step:233/1190 train_time:9800ms step_avg:42.06ms
step:234/1190 train_time:9845ms step_avg:42.07ms
step:235/1190 train_time:9881ms step_avg:42.05ms
step:236/1190 train_time:9928ms step_avg:42.07ms
